COORD_X,COORD_Y,TRAM,Rang,LATITUDE,LONGITUDE
432334.39,4581197.406,T00099B,30-40 µg/m³,41.3794546549764,2.19077419822851
432348.598,4581201.259,T00100D,30-40 µg/m³,41.379490552665466,2.1909436680234355
432363.244,4581205.307,T00101E,30-40 µg/m³,41.37952824323991,2.1911183538751726
432377.836,4581209.279,T00102F,30-40 µg/m³,41.37956524449989,2.1912924026771003
432392.502,4581213.121,T00103G,30-40 µg/m³,41.379601080839116,2.1914673510800466
432407.02,4581217.146,T00104H,30-40 µg/m³,41.37963855271533,2.1916405094725975
432421.333,4581221.124,T00105I,30-40 µg/m³,41.37967558379793,2.1918112219006978
432435.851,4581225.084,T00106J,30-40 µg/m³,41.3797124697213,2.1919843879424707
432177.623,4581250.564,T00107K,30-40 µg/m³,41.37992023650707,2.188893623103547
432250.641,4581271.73,T00108L,30-40 µg/m³,41.3801170246798,2.1897644153287144
432265.218,4581275.951,T00109M,30-40 µg/m³,41.38015626940696,2.1899382576916175
432279.895,4581279.976,T00110F,30-40 µg/m³,41.38019375696845,2.190113317987411
432294.206,4581284.11,T00111G,30-40 µg/m³,41.38023219520196,2.1902839896146764
432270.726,4581228.783,T00112H,30-40 µg/m³,41.379731903118646,2.1900093947743207
432285.411,4581232.702,T00114J,30-40 µg/m³,41.37976843652336,2.190184561487157
432299.788,4581236.607,T00116L,30-40 µg/m³,41.3798048176536,2.1903560468669205
432314.368,4581240.909,T00118N,30-40 µg/m³,41.379844791283155,2.19052991559908
432339.507,4581152.026,T00119O,30-40 µg/m³,41.37904635924371,2.190840453867931
432308.542,4581288.442,T00120H,30-40 µg/m³,41.38027241862191,2.1904549382850482
432323.164,4581292.575,T00121I,30-40 µg/m³,41.380310873504044,2.1906293294386616
432337.839,4581296.367,T00122J,30-40 µg/m³,41.380346261281446,2.1908043926597265
432328.564,4581244.939,T00123K,30-40 µg/m³,41.37988228252176,2.1906992230013747
432367.067,4581303.932,T00126N,30-40 µg/m³,41.380416854658556,2.1911530629006024
432381.506,4581307.993,T00127O,30-40 µg/m³,41.38045464462408,2.1913252745447624
432395.548,4581312.37,T00128P,30-40 µg/m³,41.380495247107405,2.1914927037202285
432409.906,4581317.168,T00129Q,30-40 µg/m³,41.38053966773341,2.1916638649573814
432424.132,4581321.854,T00130J,30-40 µg/m³,41.380583068264926,2.1918334604306438
432437.804,4581325.956,T00131K,30-40 µg/m³,41.38062116209005,2.19199649636435
432359.643,4581110.797,T00134N,30-40 µg/m³,41.37867671310169,2.191085840996539
432374.299,4581115.028,T00135O,30-40 µg/m³,41.3787160525214,2.1912606239230827
432415.645,4581268.877,T00137Q,30-40 µg/m³,41.38010520513747,2.191737878871747
432430.113,4581273.375,T00138R,30-40 µg/m³,41.3801469326082,2.1919103881116655
432343.198,4581248.894,T00141M,30-40 µg/m³,41.379919134836896,2.1908737766356783
432368.371,4581160.11,T00142N,30-40 µg/m³,41.379121596370176,2.19118470660534
432357.884,4581252.779,T00143O,30-40 µg/m³,41.37995536078829,2.1910489601072287
432372.279,4581256.531,T00145Q,30-40 µg/m³,41.37999036411908,2.19122067879904
432116.184,4581197.114,T00147S,30-40 µg/m³,41.37943364525344,2.188164915114356
432130.448,4581201.281,T00148T,30-40 µg/m³,41.379472379611386,2.18833501784407
432144.766,4581205.549,T00149U,30-40 µg/m³,41.379512027953886,2.1885057552054588
432159.208,4581209.687,T00150N,30-40 µg/m³,41.37955051562357,2.188677990129266
432173.674,4581213.798,T00151O,30-40 µg/m³,41.37958876187818,2.188850515275257
432188.019,4581218.115,T00152P,30-40 µg/m³,41.379628853066315,2.1890215706504224
432223.733,4581120.229,T00156T,30-40 µg/m³,41.3787502283491,2.1894595881131322
432253.054,4581128.397,T00157U,30-40 µg/m³,41.37882626462557,2.18980929301902
432188.694,4581187.939,T00158V,30-40 µg/m³,41.37935712258558,2.189033018815135
432174.212,4581183.706,T00160P,30-40 µg/m³,41.379317776436785,2.1888603164933143
432194.775,4581112.229,T00161Q,30-40 µg/m³,41.37867573473761,2.1891142059585382
432160.018,4581179.899,T00162R,30-40 µg/m³,41.37928229118308,2.188691010603354
432145.611,4581175.664,T00164T,30-40 µg/m³,41.37924293283539,2.1885192057670366
432166.083,4581104.732,T00165U,30-40 µg/m³,41.37860579291043,2.188771949106028
432131.031,4581171.661,T00166V,30-40 µg/m³,41.37920564920396,2.188345306428421
432116.829,4581167.446,T00168X,30-40 µg/m³,41.37916648777294,2.1881759511563312
432137.043,4581096.429,T00169Y,30-40 µg/m³,41.37852856128934,2.188425621913276
432053.157,4581309.187,T00170R,30-40 µg/m³,41.380437737222394,2.187398670817386
432081.069,4581316.551,T00171S,30-40 µg/m³,41.38050641944858,2.1877316231947
432095.6,4581321.169,T00172T,30-40 µg/m³,41.38054923903434,2.1879048707558426
432110.314,4581325.961,T00173U,30-40 µg/m³,41.38059364097408,2.18808028741395
432125.039,4581330.243,T00174V,30-40 µg/m³,41.38063345014088,2.1882558929773257
432139.735,4581334.399,T00175W,30-40 µg/m³,41.380672121746706,2.1884311660787263
432153.748,4581338.584,T00176X,30-40 µg/m³,41.38071099668963,2.1885982686479113
432225.459,4581359.99,T00181U,30-40 µg/m³,41.3809098386814,2.1894534141094537
432261.789,4581370.887,T00182V,30-40 µg/m³,41.38101104456506,2.1898866413691644
432297.726,4581381.477,T00183W,30-40 µg/m³,41.38110945068961,2.1903152046642993
432028.09,4581406.33,T00184X,30-40 µg/m³,41.38131056102757,2.1870880182027683
432053.782,4581414.003,T00185Y,40-50 µg/m³,41.38138183978438,2.1873943924103805
432068.129,4581418.422,T00186Z,40-50 µg/m³,41.38142285201521,2.1875654640200084
432082.751,4581422.657,T00187A,40-50 µg/m³,41.38146222996836,2.187739845031665
432097.174,4581427.023,T00188B,30-40 µg/m³,41.38150277074616,2.187911831854656
432111.354,4581430.913,T00189C,30-40 µg/m³,41.38153900355907,2.1880809663262624
432125.914,4581434.637,T00190V,30-40 µg/m³,41.38157377306421,2.188254663784255
432140.437,4581438.894,T00191W,30-40 µg/m³,41.381613339777516,2.1884278592817448
432154.572,4581443.042,T00192X,30-40 µg/m³,41.38165189177942,2.188596427321804
432168.606,4581447.306,T00193Y,30-40 µg/m³,41.3816914798021,2.1887637747765396
432182.754,4581451.833,T00194Z,30-40 µg/m³,41.3817334459636,2.1889324562681565
432197.277,4581456.062,T00195A,30-40 µg/m³,41.381772759474586,2.189105655748001
432234.206,4581466.467,T00196B,30-40 µg/m³,41.38186958583765,2.1895461063061474
432271.523,4581477.199,T00197C,30-40 µg/m³,41.38196938839056,2.18999116154597
432281.457,4581136.28,T00199E,30-40 µg/m³,41.37889965566574,2.190148053209841
432387.29,4581260.523,T00201H,30-40 µg/m³,41.38002758057726,2.1913997371234206
432401.236,4581264.617,T00203J,30-40 µg/m³,41.380065625971724,2.1915660488397295
432306.268,4581435.621,T00208O,30-40 µg/m³,41.38159783032682,2.1904113044893894
432277.097,4581427.207,T00209P,30-40 µg/m³,41.38151959274313,2.1900634053113324
432312.364,4581385.669,T00210I,30-40 µg/m³,41.381148438541274,2.190489782704117
432317.706,4581339.024,T00212K,30-40 µg/m³,41.380728768523454,2.190558873905448
432072.452,4581483.934,T00216O,30-40 µg/m³,41.38201326608001,2.187609816476397
432101.596,4581492.456,T00217P,40-50 µg/m³,41.38209248152138,2.1879573802344523
432159.254,4581508.754,T00219R,40-50 µg/m³,41.38224413712828,2.188645059960427
432217.664,4581525.616,T00220K,30-40 µg/m³,41.382400931805044,2.1893416727041592
432270.38,4581508.891,T00222M,30-40 µg/m³,41.3822547336921,2.189973950685077
432181.878,4581483.518,T00223N,30-40 µg/m³,41.382018750535856,2.188918434565372
432152.982,4581474.786,T00225P,30-40 µg/m³,41.38193766748869,2.1885738592044097
432124.538,4581466.675,T00227R,30-40 µg/m³,41.381862214730475,2.188234620386814
432095.688,4581458.784,T00228S,30-40 µg/m³,41.38178870819361,2.1878905025792768
432066.411,4581450.062,T00229T,30-40 µg/m³,41.38170767998517,2.187541372465086
432060.2,4581363.056,T00232O,30-40 µg/m³,41.38092351571692,2.187476853205971
432081.931,4581287.02,T00233P,30-40 µg/m³,41.38024051431707,2.187745240832295
432092.005,4581251.644,T00234Q,30-40 µg/m³,41.37992274232913,2.1878696716025527
432074.65,4581367.498,T00235R,30-40 µg/m³,41.380964743668336,2.1876491528008524
432096.274,4581291.262,T00236S,30-40 µg/m³,41.38027993147927,2.187916281691032
432103.986,4581376.524,T00237T,30-40 µg/m³,41.38104851455126,2.187998950575921
432118.226,4581380.743,T00238U,30-40 µg/m³,41.3810877155066,2.1881687645711994
432132.863,4581384.57,T00239V,30-40 µg/m³,41.38112341906015,2.188343370138039
432161.372,4581393.026,T00240O,30-40 µg/m³,41.38120198427791,2.188683343931904
432175.739,4581397.273,T00241P,30-40 µg/m³,41.38124144712405,2.1888546743308526
432189.747,4581401.481,T00242Q,30-40 µg/m³,41.38128052819721,2.1890217162486483
432218.898,4581410.148,T00243R,30-40 µg/m³,41.3813610459304,2.1893693453912566
432097.136,4581261.731,T00244S,30-40 µg/m³,41.38001402630821,2.187929898514647
432111.453,4581265.974,T00245T,30-40 µg/m³,41.38005345000605,2.1881006278742072
432089.079,4581372.093,T00246U,30-40 µg/m³,41.381007347621285,2.1878211843464084
432110.779,4581295.881,T00247V,30-40 µg/m³,41.380322757597234,2.1880892177539257
432120.767,4581260.1,T00248W,30-40 µg/m³,41.38000133024436,2.1882126639819814
432203.838,4581405.904,T00249X,30-40 µg/m³,41.38132155247174,2.1891897268619216
432146.8,4581388.652,T00250Q,30-40 µg/m³,41.38116136003446,2.1885095765023044
431636.739,4581438.102,T00251R,50-60 µg/m³,41.381563565404235,2.1824045163846773
431681.565,4581506.741,T00252S,40-50 µg/m³,41.38218558536426,2.1829328253873035
431734.936,4581471.695,T00254U,30-40 µg/m³,41.38187446597365,2.1835750118303614
431680.68,4581446.122,T00255V,40-50 µg/m³,41.381639531736994,2.182929076548893
431661.662,4581593.332,T00261T,30-40 µg/m³,41.382963795977446,2.182685049252971
431680.151,4581626.042,T00262U,30-40 µg/m³,41.3832599760705,2.1829024648641906
431720.32,4581624.808,T00263V,30-40 µg/m³,41.38325227192524,2.1833829737082393
431774.955,4581590.805,T00264W,30-40 µg/m³,41.38295065135769,2.1840401669375837
431810.606,4581568.912,T00265X,30-40 µg/m³,41.38275648961017,2.1844689690663035
431772.102,4581508.189,T00267Z,30-40 µg/m³,41.38220630996047,2.184015351207816
431735.821,4581532.314,T00268A,40-50 µg/m³,41.38242051960743,2.183578766054818
431682.695,4581565.929,T00269B,30-40 µg/m³,41.382718771127465,2.1829396654158555
431716.319,4581588.397,T00270U,30-40 µg/m³,41.38292398863146,2.183339230115917
431747.447,4581572.323,T00271V,30-40 µg/m³,41.382781855935356,2.183713289810855
432023.63,4581352.878,T00275Z,30-40 µg/m³,41.38082875636228,2.1870406797674526
431872.923,4581527.88,T00276A,30-40 µg/m³,41.382392204976426,2.1852188084107733
432108.464,4581247.867,T00299H,30-40 µg/m³,41.379890112827496,2.1880669134581536
432106.67,4581202.179,T00302L,30-40 µg/m³,41.379478461656134,2.1880505789728764
432118.716,4581213.401,T00305O,30-40 µg/m³,41.37958055159993,2.188193368579387
431460.262,4581278.458,T00316R,40-50 µg/m³,41.38011068255251,2.1803121896437445
431491.552,4581330.329,T00317S,40-50 µg/m³,41.38058053488789,2.1806804957740797
431521.376,4581379.517,T00318T,40-50 µg/m³,41.38102609625683,2.181031579477033
432450.494,4581228.971,T00322P,30-40 µg/m³,41.37974870838719,2.192159057083314
431484.204,4581363.582,T00336V,40-50 µg/m³,41.38087940961008,2.1805888671241926
431535.221,4581337.986,T00337W,40-50 µg/m³,41.38065321641766,2.1812018342933057
431460.992,4581318.523,T00338X,30-40 µg/m³,41.380471598917715,2.1803163878231784
431507.143,4581290.121,T00339Y,40-50 µg/m³,41.380219720069604,2.1808714807920535
